Pluies-Débits Hammam Bougrara;
Série 01/1997 -> 12/2016;
T;Q
9/1/1972;0.029948659
10/1/1972;0.031393801
11/1/1972;0.028950371
12/1/1972;0.431023008
1/1/1973;0.050247195
2/1/1973;0.16482221
3/1/1973;0.289275528
4/1/1973;0.090844267
5/1/1973;0.052909298
6/1/1973;0.046358623
7/1/1973;0.044808899
8/1/1973;0.035054193
9/1/1973;0.035491538
10/1/1973;0.043040502
11/1/1973;0.045921278
12/1/1973;0.047803765
1/1/1974;0.050798631
2/1/1974;0.080081765
3/1/1974;0.048916144
4/1/1974;0.521753185
5/1/1974;0.0762027
6/1/1974;0.042812322
7/1/1974;0.038600494
8/1/1974;0.044257463
9/1/1974;0.039484693
10/1/1974;0.039484693
11/1/1974;0.043477847
12/1/1974;0.048916144
1/1/1975;0.061447043
2/1/1975;0.059783229
3/1/1975;0.063224948
4/1/1975;0.057007036
5/1/1975;0.07154402
6/1/1975;0.041148507
7/1/1975;0.041928123
8/1/1975;0.038600494
9/1/1975;0.037269443
10/1/1975;0.05634151
11/1/1975;0.048355201
12/1/1975;0.059003613
1/1/1976;0.140644609
2/1/1976;0.061447043
3/1/1976;0.065887051
4/1/1976;0.05867085
5/1/1976;0.058119414
6/1/1976;0.051578247
7/1/1976;0.053013881
8/1/1976;0.053574824
9/1/1976;0.06122837
10/1/1976;0.143411295
11/1/1976;0.123787792
12/1/1976;0.044590226
1/1/1977;0.037820878
2/1/1977;0.03460734
3/1/1977;0.036271154
4/1/1977;0.035272866
5/1/1977;0.033609051
6/1/1977;0.030500095
7/1/1977;0.027837992
8/1/1977;0.028066172
9/1/1977;0.026735121
10/1/1977;0.029397224
11/1/1977;0.028731698
12/1/1977;0.029948659
1/1/1978;0.029948659
2/1/1978;0.039712873
3/1/1978;0.040482982
4/1/1978;0.029169044
5/1/1978;0.028617608
6/1/1978;0.025736832
7/1/1978;0.028066172
8/1/1978;0.028066172
9/1/1978;0.05878494
10/1/1978;0.49125309
11/1/1978;0.066438486
12/1/1978;0.038819167
1/1/1979;0.032943525
2/1/1979;0.101930025
3/1/1979;0.114356342
4/1/1979;0.0241776
5/1/1979;0.026069595
6/1/1979;0.024843126
7/1/1979;0.023740255
8/1/1979;0.023512075
9/1/1979;0.024510363
10/1/1979;0.023512075
11/1/1979;0.023407492
12/1/1979;0.39098688
1/1/1980;0.114242251
2/1/1980;0.049020726
3/1/1980;0.045141662
4/1/1980;0.044476136
5/1/1980;0.038267732
6/1/1980;0.048916144
7/1/1980;0.033494961
8/1/1980;0.024738543
9/1/1980;0.042926412
10/1/1980;0.040482982
